date,platform,channel,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,creative_id,creative_name,landing_page,geo,device,currency,spend,impressions,reach,frequency,clicks,link_clicks,ctr,cpc,video_views,video_view_rate,completed_views,listen_starts,completed_listens,sessions,accounts_created,new_activated_users,conversion_value,source_file,source_grain,attribution_notes,data_confidence,notes
2026-02-08,linkedin,paid_social,,urn:li:sponsoredCampaign:530006296,KV_Meta ads_02/26_Sales_UK/NA_Cold,,,,,,,,,,USD,37.06,2028,,,8,8,0.003945,4.6325,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=0; comments=0; shares=0
2026-02-08,newsletter,newsletter,What Plugin,714877e9-ac0e-451d-86f9-391ecb9fb7e3,Main ad: What Plugin 2026-02-08,,,,,,,,,,USD,254,,,,352,,,0.7216,,,,,,,33,19,,activities + activity_uplifts,campaign,Main ad activity; incremental = post-window minus baseline; attributed=8,LOW,channel=newsletter; status=live; tag=; source=sheets
2026-02-08,newsletter,newsletter,The Leverage,7a4c9554-99d2-4739-85a6-7c72fd36453d,Primary placement: The Leverage 2026-02-08,,,,,,,,,,USD,2000,,,,44,,,45.4545,,,,,,,33,19,,activities + activity_uplifts,campaign,Primary placement activity; incremental = post-window minus baseline; attributed=1,LOW,channel=newsletter; status=live; tag=; source=sheets
2026-02-08,newsletter,newsletter,Superhuman,8d70f501-7c82-40d6-9f26-167792b7cd87,Spotlight: Superhuman 2026-02-08,,,,,,,,,,USD,2500,,,,1000,,,2.5000,,,,,,,33,19,,activities + activity_uplifts,campaign,Spotlight activity; incremental = post-window minus baseline; attributed=23,MED,channel=newsletter; status=live; tag=; source=sheets
2026-02-08,other,influencer,Growi UGC,,,,,,,,,,,,USD,,2508,,,,,,,2508,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=130; comments=3; shares=6; saves=2; posts=5; tiktok_views=2355; ig_views=0
2026-02-08,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,37,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-09,linkedin,paid_social,,urn:li:sponsoredCampaign:530501546,KV_Meta ads_02/26_Product/Operations_UK/NA_Cold,,,,,,,,,,USD,194.13,4860,,,21,21,0.004321,9.2443,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=3; comments=0; shares=0
2026-02-09,linkedin,paid_social,,urn:li:sponsoredCampaign:530006296,KV_Meta ads_02/26_Sales_UK/NA_Cold,,,,,,,,,,USD,57.69,2281,,,12,12,0.005261,4.8075,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=1; comments=0; shares=0
2026-02-09,newsletter,newsletter,Techscoop,6d56bab3-7498-4cd9-90ee-874ead11f823,Main ad: Techscoop 2026-02-09,,,,,,,,,,USD,400,,,,32,,,12.5000,,,,,,,37,39,,activities + activity_uplifts,campaign,Main ad activity; incremental = post-window minus baseline; attributed=1,LOW,channel=newsletter; status=live; tag=; source=sheets
2026-02-09,other,influencer,Growi UGC,,,,,,,,,,,,USD,,5013,,,,,,,5013,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=277; comments=4; shares=11; saves=1; posts=6; tiktok_views=5013; ig_views=0
2026-02-09,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,360,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-10,linkedin,paid_social,,urn:li:sponsoredCampaign:530501546,KV_Meta ads_02/26_Product/Operations_UK/NA_Cold,,,,,,,,,,USD,223.43,3945,,,26,26,0.006591,8.5935,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=1; comments=0; shares=0
2026-02-10,linkedin,paid_social,,urn:li:sponsoredCampaign:530006296,KV_Meta ads_02/26_Sales_UK/NA_Cold,,,,,,,,,,USD,185.77,10032,,,39,39,0.003888,4.7633,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=6; comments=0; shares=0
2026-02-10,newsletter,newsletter,4DW,6ed242c3-05ef-42c9-bacc-7a62e9483c72,Primary ads: 4DW 2026-02-10,,,,,,,,,,USD,1300,,,,333,,,3.9039,,,,,,,38,39,,activities + activity_uplifts,campaign,Primary ads activity; incremental = post-window minus baseline; attributed=11,LOW,channel=newsletter; status=live; tag=; source=sheets
2026-02-10,newsletter,newsletter,The Coding Sloth,04e792ff-2eaf-475b-bbc6-9f780aaa4557,Primary placement: The Coding Sloth 2026-02-10,,,,,,,,,,USD,1000,,,,342,,,2.9240,,,,,,,38,39,,activities + activity_uplifts,campaign,Primary placement activity; incremental = post-window minus baseline; attributed=11,LOW,channel=newsletter; status=live; tag=; source=sheets
2026-02-10,newsletter,newsletter,The Follow Up,c0511145-dceb-4871-bd9c-915b532e8823,Primary placement: The Follow Up 2026-02-10,,,,,,,,,,USD,600,,,,260,,,2.3077,,,,,,,38,39,,activities + activity_uplifts,campaign,Primary placement activity; incremental = post-window minus baseline; attributed=9,LOW,channel=newsletter; status=live; tag=; source=sheets
2026-02-10,other,influencer,Growi UGC,,,,,,,,,,,,USD,,5956,,,,,,,5956,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=225; comments=0; shares=6; saves=6; posts=5; tiktok_views=5960; ig_views=0
2026-02-10,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,324,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-11,linkedin,paid_social,,urn:li:sponsoredCampaign:530501546,KV_Meta ads_02/26_Product/Operations_UK/NA_Cold,,,,,,,,,,USD,229.26,6407,,,25,25,0.003902,9.1704,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=3; comments=0; shares=0
2026-02-11,linkedin,paid_social,,urn:li:sponsoredCampaign:530006296,KV_Meta ads_02/26_Sales_UK/NA_Cold,,,,,,,,,,USD,133.45,6577,,,27,27,0.004105,4.9426,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=3; reactions=0; comments=0; shares=0
2026-02-11,newsletter,newsletter,Peter Yang,db8a8e45-0ee8-48e6-b20a-34dfc61b050b,Dedicated placement: Peter Yang 2026-02-11,,,,,,,,,,USD,4000,,,,530,,,7.5472,,,,,,,21,24,,activities + activity_uplifts,campaign,Dedicated placement activity; incremental = post-window minus baseline; attributed=9,LOW,channel=newsletter; status=live; tag=; source=sheets
2026-02-11,other,influencer,Growi UGC,,,,,,,,,,,,USD,,9428,,,,,,,9428,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=600; comments=33; shares=11; saves=24; posts=7; tiktok_views=10209; ig_views=0
2026-02-11,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,287,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-11,podscribe,audio,,permylastemail_global_granola_morningbrew_2368736,Per My Last Email,,Per My Last Email,,,,,,,,USD,0,1,1,,,,,,,,,1,,,,,,podscribe_campaign_daily,campaign,Podscribe pixel-based attribution; impressions = verified listens,high,publisher=Morning Brew; visitors=0; visits=0
2026-02-12,linkedin,paid_social,,urn:li:sponsoredCampaign:530501546,KV_Meta ads_02/26_Product/Operations_UK/NA_Cold,,,,,,,,,,USD,320.28,8060,,,34,34,0.004218,9.4200,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=9; reactions=3; comments=1; shares=0
2026-02-12,linkedin,paid_social,,urn:li:sponsoredCampaign:530006296,KV_Meta ads_02/26_Sales_UK/NA_Cold,,,,,,,,,,USD,133.82,6115,,,28,28,0.004579,4.7793,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=4; reactions=3; comments=0; shares=0
2026-02-12,other,influencer,Growi UGC,,,,,,,,,,,,USD,,22448,,,,,,,22448,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=730; comments=63; shares=16; saves=32; posts=6; tiktok_views=22497; ig_views=0
2026-02-12,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,573,251,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
